filepath,anger,disgust,fear,happiness,sadness,surprise,neutral
S3_surprise_3.mp4,0.117647058824,0.0,0.411764705882,0.0,0.117647058824,0.352941176471,0.0
S3_sad_2.mp4,0.352941176471,0.0,0.0,0.0,0.0588235294118,0.588235294118,0.0
S3_sad_1.mp4,0.68,0.0,0.0,0.0,0.32,0.0,0.0
S3_surprise.mp4,0.0952380952381,0.0,0.47619047619,0.428571428571,0.0,0.0,0.0
S3_surprise_4.mp4,0.5,0.0,0.166666666667,0.0,0.0,0.333333333333,0.0
S3_happy_3.mp4,0.176470588235,0.0,0.0,0.735294117647,0.0,0.0882352941176,0.0
S3_happy_4.mp4,0.0,0.0,0.142857142857,0.761904761905,0.0,0.0952380952381,0.0
S3_surprise_2.mp4,0.285714285714,0.0,0.357142857143,0.333333333333,0.0238095238095,0.0,0.0
S3_surprise_1.mp4,0.384615384615,0.0,0.538461538462,0.0,0.0769230769231,0.0,0.0
S3_happy_1.mp4,0.777777777778,0.0,0.111111111111,0.0,0.111111111111,0.0,0.0
S3_fear.mp4,0.0952380952381,0.0,0.0,0.0,0.857142857143,0.047619047619,0.0
S3_happy_disgust.mp4,0.0526315789474,0.0,0.0526315789474,0.894736842105,0.0,0.0,0.0
S3_happy.mp4,0.333333333333,0.0,0.111111111111,0.333333333333,0.222222222222,0.0,0.0
S3_happy_2.mp4,0.0,0.0,0.0952380952381,0.857142857143,0.047619047619,0.0,0.0
S3_sad.mp4,0.714285714286,0.0,0.0952380952381,0.0,0.190476190476,0.0,0.0
S3_surprise_5.mp4,0.0,0.0,0.0344827586207,0.0,0.0,0.965517241379,0.0
S7_happy_surprise_2.mp4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S7_happy_2.mp4,0.0,0.0,0.0,0.645161290323,0.0,0.354838709677,0.0
S7_fear.mp4,0.222222222222,0.0,0.0,0.777777777778,0.0,0.0,0.0
S7_happy_surprise_1.mp4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S7_surprise_4.mp4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
